Name,Ingredients,Station,Location,Meal Type,Item ID
Brown Rice & Lentils,"Ingredients: Brown Lentils, Water, Whole Grain Brown Rice ((long grain parboiled brown rice)  )",Vegan,Marciano,lunch,122
Vegan Baked Penne Casserole,"Ingredients: Water, Pizza Sauce (tomatoes, tomato puree, salt, sugar, extra virgin olive oil, spices, dehydrated basil and garlic powder), Penne Pasta (semolina [wheat], niacin, ferrous sulfate [iron], thiamin mononitrate, riboflavin, folic acid. [PROCESSED IN A FACILITY THAT USES EGG]), Vegan Mozzarella Shreds (daiya oat cream blend [water, gluten-free oat flour, pea protein], tapioca starch, [highly refined] coconut oil, expeller pressed safflower oil, calcium phosphate, less than 2 percent of: corn starch, yeast extract, salt, dextrose, lactic acid, natural flavors), Nutritional Yeast (dried yeast, niacin [b3], pyridoxine hydrochloride [b6], riboflavin [b2], thiamine hydrochloride [b-1], folic acid and vitamin b-12)",Vegan,Marciano,dinner,211
Brown Rice & Lentils,"Ingredients: Brown Lentils, Water, Whole Grain Brown Rice ((long grain parboiled brown rice)  )",Vegan,Marciano,dinner,212
Lemon Pound Cake,"Ingredients: Pound Cake Mix (sugar, enriched flour bleached [wheat flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], palm oil, corn syrup solids. contains 2% or less of: egg yolk with sodium silicoaluminate, eggs with sodium silicoaluminate, egg white, salt, leavening [baking soda, monocalcium phosphate, sodium acid pyrophosphate], whey protein concentrate, propylene glycol mono and diesters, xanthan gum, mono and diglycerides, soy lecithin, whey, natural flavor, annatto and turmeric extract color), Water, Imitation Lemon Extract (water, alcohol, oil of lemon, fd&c yellow no. 5 & citral.)",Bakery,Marciano,breakfast,1
Maple Donut Bites,"Ingredients: Confectioner Sugar (sugar, corn starch), Pure Maple Syrup (100% pure grade ""a"" dark robust taste maple syrup), Water, Vanilla Donut Hole (enriched unbleached wheat flour [wheat flour, niacin, reduced iron, thiamine mononitrate, enzyme, riboflavin, folic acid], palm oil, sugar, water, soybean oil, contains less than 2% of the following: defatted soy flour, egg yolks, leavening [sodium acid pyrophosphate, baking soda], dextrose, wheat starch, salt, skim milk, modified wheat starch, potato flour, artificial flavor, sodium stearoyl lactylate)",Bakery,Marciano,breakfast,2
Chocolate Croissant,"Ingredients: Chocolate Croissant (enriched wheat flour [wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], semisweet chocolate [sugar, chocolate liquor, cocoa butter, soy lecithin, vanilla], water, margarine [interesterified soybean oil, water, mono- and diglycerides, soy lecithin, sodium benzoate [preservative], artificial flavor, beta-carotene [color], vitamin a palmitate], sugar, yeast, less than 2% of nonfat milk, vital wheat gluten, salt, ascorbic acid, enzymes [MAY CONTAIN TREE NUTS])",Bakery,Marciano,breakfast,3
Banana Bread,"Ingredients: Granulated Sugar, All Purpose Flour (bleached wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), Fresh Banana, Liquid Whole Eggs (whole eggs, citric acid, 0.15% water added as carrier for citric acid. citric acid added to preserve color), Smart Balance Margarine (oil blend [palm, soybean, canola, and olive oil], water, contains less than 2% of salt, enzyme-modified soybean lecithin, natural & artificial flavor, potassium sorbate and calcium disodium edta [to preserve freshness], lactic acid, vitamin a palmitate, beta-carotene color), Whole Milk (milk and vitamin d3), Baking Powder (sodium bicarbonate, cornstarch, sodium aluminum sulfate, monocalcium phosphate, silicon dioxide), Imitation Vanilla Extract  (water, vanillin, caramel color, ethyl vanillin and 0.1% potassium sorbate [added as a preservative]), Baking Soda (sodium bicarbonate), Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps])",Bakery,Marciano,breakfast,4
Assorted Cookies ,"Ingredients: Granulated Sugar, Ground Cinnamon, Chocolate Chip Cookies (enriched bleached flour [bleached wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid], sugar, palm oil, margarine [palm oil, water, soybean oil, contains 2% or less of: salt, mono- and diglycerides, natural flavor [contains milk], citric acid, vitamin a palmitate added, beta carotene [color]], semi-sweet chocolate chips [sugar, unsweetened chocolate, cocoa butter, dextrose, soy lecithin, natural flavor, milk], chocolate flavored chips [sugar, fractionated interesterified vegetable fat [palm kernel and/or palm oils], cocoa powder [processed with alkali], dextrose, soy lecithin, polysorbate 60, sorbitan monostearate, natural flavor, salt, vanilla extract, milk], water, eggs, dextrose, contains 2% or less of:  butter [cream [milk], salt], molasses, water, pregelatinized wheat starch, baking soda, salt, natural and artificial flavors [MAY CONTAIN PEANUTS AND TREENUTS]), Oatmeal Raisin Cookies ((sugar, enriched bleached flour [bleached wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid], margarine [palm oil, water, soybean oil, contains 2% or less of: salt, mono- and diglycerides, natural flavor [contains milk], citric acid, vitamin a palmitate added, beta carotene [color]], rolled oats, raisins [raisins, sunflower oil], coconut, eggs, invert sugar, contains 2% or less of: water, molasses, dextrose, butter [cream [milk], salt], pregelatinized wheat starch, baking soda, salt, cinnamon, milk protein concentrate, lactose [milk], soy lecithin, artificial flavor, nonfat milk, defatted soy flour [MAY CONTAIN PEANUTS]) ), Sugar Cookies (enriched bleached flour [bleached wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid], sugar, margarine [palm oil, water, soybean oil, contains 2% or less of: salt, mono- and diglycerides, natural flavor[contains milk], citric acid, vitamin a palmitate added, beta carotene [color]], eggs, butter [cream [milk], salt], contains 2% or less of: invert sugar, salt, baking soda, soy lecithin, defatted soy flour. [MAY CONTAIN PEANUTS AND TREENUTS]), Carnival Cookies (enriched bleached flour [bleached wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid], sugar, margarine [palm oil, water, soybean oil, contains 2% or less of: salt, monoanddiglycerides, natural flavors [contains milk], citric acid, vitamin a palmitate added, beta carotene [color]], semi-sweet chocolate chips [sugar, unsweetened chocolate, cocoa butter, dextrose, soy lecithin, vanilla extract], colored chocolate candies [semisweet and dark chocolate [sugar, unsweetened chocolate, cocoa butter, dextrose, soy lecithin, natural flavor, milk], sugar, artificial color [titanium dioxide, red 40 lake, yellow 6 lake, yellow 6, yellow 5 lake, yellow 5, blue 1 lake, blue 1, red 3, blue 2 lake], gum acacia, corn syrup, cornstarch, confectioner's glaze [carnauba wax, beeswax, shellac]], eggs, dextrose, contains 2% or less of water, molasses, baking soda, salt, wheat starch, natural and artificial flavor [MAY CONTAIN PEANUTS AND TREENUTS])",Bakery,Marciano,lunch,31
Ginger Vanilla Cupcake,"Ingredients: Yellow Cake Mix (enriched bleached flour [wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid, malted barley flour], sugar, palm and soybean oil, dextrose, less than 2% of: leavening [sodium aluminum phosphate, aluminum sulfate, baking soda], corn syrup solids, egg with sodium silicoaluminate, egg whites, food starch-modified, monocalcium phosphate, mono and diglycerides, modified whey, natural and artificial flavors [contains milk derivatives], nonfat milk, polyglycerol esters of fatty acids and mono-diglycerides, modified corn starch, polysorbate 60, propylene glycol mono and diesters of fatty acids, salt, sodium aluminum phosphate, sodium stearoyl lactylate, soy lecithin, annatto and turmeric extract color, yellow 5, yellow 5 lake, yellow 6, yellow 6 lake, xanthan gum, defatted soy flour), Water, Gluten-Free White Buttercream Frosting (sugar, palm oil, water, corn syrup, corn starch. contains 2% or less of: monoglycerides, cellulose gel, salt, polysorbate 80, sodium acid pyrophosphate, cellulose gum, natural and artificial flavor, citric acid, color [yellows 5 & 6 and other color added]. freshness preserved by potassium sorbate [MAY CONTAIN MILK]), Ground Ginger (ginger, and sulfur dioxide [added to retain color])",Bakery,Marciano,lunch,32
Ultimate Fudge Brownie,"Ingredients: Brownie Mix (sugar, enriched bleached flour [wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], palm and soybean oil, cocoa [processed with alkali], less than 2% of: artificial flavor, baking soda, egg whites, salt, wheat protein isolate [MAY CONTAIN MILK]), Water",Bakery,Marciano,lunch,33
Vegan Zucchini Bread No Nuts,"Ingredients: Fresh Zucchini, Unsweetened Applesauce (apples, water, ascorbic acid [vitamin c]), Sugar in the Raw (turbinado sugar), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Whole-Wheat Stone-Ground Flour, All Purpose Flour (bleached wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), Water, Light Brown Sugar (brown sugar [when produced at chalmette or crockett facilities] sugar, molasses [when produced at south bay facility]), Dark Seedless Raisins, Vegan Egg Replacer Powder (potato starch, tapioca flour, baking soda, psyllium husk fiber [MAY CONTAIN SESAME SEEDS, SOY, TREENUTS]), Imitation Vanilla Extract  (water, vanillin, caramel color, ethyl vanillin and 0.1% potassium sorbate [added as a preservative]), Baking Soda (sodium bicarbonate), Baking Powder (sodium bicarbonate, cornstarch, sodium aluminum sulfate, monocalcium phosphate, silicon dioxide), Ground Cinnamon, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Nutmeg, Ground Cloves",Bakery,Marciano,lunch,34
Assorted Cookies ,"Ingredients: Granulated Sugar, Ground Cinnamon, Chocolate Chip Cookies (enriched bleached flour [bleached wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid], sugar, palm oil, margarine [palm oil, water, soybean oil, contains 2% or less of: salt, mono- and diglycerides, natural flavor [contains milk], citric acid, vitamin a palmitate added, beta carotene [color]], semi-sweet chocolate chips [sugar, unsweetened chocolate, cocoa butter, dextrose, soy lecithin, natural flavor, milk], chocolate flavored chips [sugar, fractionated interesterified vegetable fat [palm kernel and/or palm oils], cocoa powder [processed with alkali], dextrose, soy lecithin, polysorbate 60, sorbitan monostearate, natural flavor, salt, vanilla extract, milk], water, eggs, dextrose, contains 2% or less of:  butter [cream [milk], salt], molasses, water, pregelatinized wheat starch, baking soda, salt, natural and artificial flavors [MAY CONTAIN PEANUTS AND TREENUTS]), Oatmeal Raisin Cookies ((sugar, enriched bleached flour [bleached wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid], margarine [palm oil, water, soybean oil, contains 2% or less of: salt, mono- and diglycerides, natural flavor [contains milk], citric acid, vitamin a palmitate added, beta carotene [color]], rolled oats, raisins [raisins, sunflower oil], coconut, eggs, invert sugar, contains 2% or less of: water, molasses, dextrose, butter [cream [milk], salt], pregelatinized wheat starch, baking soda, salt, cinnamon, milk protein concentrate, lactose [milk], soy lecithin, artificial flavor, nonfat milk, defatted soy flour [MAY CONTAIN PEANUTS]) ), Sugar Cookies (enriched bleached flour [bleached wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid], sugar, margarine [palm oil, water, soybean oil, contains 2% or less of: salt, mono- and diglycerides, natural flavor[contains milk], citric acid, vitamin a palmitate added, beta carotene [color]], eggs, butter [cream [milk], salt], contains 2% or less of: invert sugar, salt, baking soda, soy lecithin, defatted soy flour. [MAY CONTAIN PEANUTS AND TREENUTS]), Carnival Cookies (enriched bleached flour [bleached wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid], sugar, margarine [palm oil, water, soybean oil, contains 2% or less of: salt, monoanddiglycerides, natural flavors [contains milk], citric acid, vitamin a palmitate added, beta carotene [color]], semi-sweet chocolate chips [sugar, unsweetened chocolate, cocoa butter, dextrose, soy lecithin, vanilla extract], colored chocolate candies [semisweet and dark chocolate [sugar, unsweetened chocolate, cocoa butter, dextrose, soy lecithin, natural flavor, milk], sugar, artificial color [titanium dioxide, red 40 lake, yellow 6 lake, yellow 6, yellow 5 lake, yellow 5, blue 1 lake, blue 1, red 3, blue 2 lake], gum acacia, corn syrup, cornstarch, confectioner's glaze [carnauba wax, beeswax, shellac]], eggs, dextrose, contains 2% or less of water, molasses, baking soda, salt, wheat starch, natural and artificial flavor [MAY CONTAIN PEANUTS AND TREENUTS])",Bakery,Marciano,dinner,126
Chocolate Filled Devil's Food Cake,"Ingredients: Devil's Food Cake Mix (sugar, enriched flour bleached [wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid, malted barley flour], palm and soybean oil, cocoa processed with alkali, dextrose, eggs with sodium silicoaluminate. contains 2% or less of: artificial flavor, leavening [baking soda, guar gum, monoglycerides, monocalcium phosphate], nonfat milk, polysorbate 60, modified corn starch, egg white, propylene glycol mono and diesters, salt, sodium aluminum sulfate, mono and diglycerides, xanthan gum, soy lecithin, whey, natural flavor), Water, Gluten-Free Chocolate Frosting (sugar, high fructose corn syrup, palm oil, water, corn starch, cocoa processed with alkali. contains 2% or less of: salt, monoglycerides, polysorbate 60, sodium stearoyl lactylate, citric acid, sodium acid pyrophosphate, artificial flavor. freshness preserved by potassium sorbate [MAY CONTAIN MILK])",Bakery,Marciano,dinner,127
Blueberry Blondie,"Ingredients: Yellow Cake Mix (enriched bleached flour [wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid, malted barley flour], sugar, palm and soybean oil, dextrose, less than 2% of: leavening [sodium aluminum phosphate, aluminum sulfate, baking soda], corn syrup solids, egg with sodium silicoaluminate, egg whites, food starch-modified, monocalcium phosphate, mono and diglycerides, modified whey, natural and artificial flavors [contains milk derivatives], nonfat milk, polyglycerol esters of fatty acids and mono-diglycerides, modified corn starch, polysorbate 60, propylene glycol mono and diesters of fatty acids, salt, sodium aluminum phosphate, sodium stearoyl lactylate, soy lecithin, annatto and turmeric extract color, yellow 5, yellow 5 lake, yellow 6, yellow 6 lake, xanthan gum, defatted soy flour), Frozen Blueberries, Liquid Whole Eggs (whole eggs, citric acid, 0.15% water added as carrier for citric acid. citric acid added to preserve color), Light Brown Sugar (brown sugar [when produced at chalmette or crockett facilities] sugar, molasses [when produced at south bay facility]), Unsalted Butter (pasteurized cream (milk), natural flavorings)",Bakery,Marciano,dinner,128
Vegan Vanilla Crumb Cake,"Ingredients: Original Rice Milk (filtered water, organic brown rice [partially milled], organic expeller pressed), Granulated Sugar, Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), All Purpose Flour (bleached wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), Smart Balance Margarine (oil blend [palm, soybean, canola, and olive oil], water, contains less than 2% of salt, enzyme-modified soybean lecithin, natural & artificial flavor, potassium sorbate and calcium disodium edta [to preserve freshness], lactic acid, vitamin a palmitate, beta-carotene color), Water, Baking Powder (sodium bicarbonate, cornstarch, sodium aluminum sulfate, monocalcium phosphate, silicon dioxide), Imitation Vanilla Extract  (water, vanillin, caramel color, ethyl vanillin and 0.1% potassium sorbate [added as a preservative]), Ground Cinnamon",Bakery,Marciano,dinner,129
Sargent Choice Roast Beef And Blue Cheese Sandwich,"Ingredients: Deli Roast Beef (beef, water, salt, sugar, potassium phosphate, potassium lactate, dextrose, sodium diacetate, flavoring, caramel coloring, garlic powder, onion powder, spices; after cooking, contains up to 12% of solution: water, salt, sodium phosphates, sugar, flavoring), Fresh Tomatoes, Non-Fat Plain Greek Yogurt (cultured grade a non fat milk), Fresh Lettuce, Blue Cheese Crumbles (blue cheese [cultured pasteurized milk, cheese culture, salt, enzymes, penicillium roqueforti], powdered cellulose [to prevent caking], natamycin [mold inhibitor]), White Vinegar (distilled white vinegar diluted with water to 5% [50 grains] acidity), Wheat Pullman Bread (whole wheat flour, water, unbleached enriched wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin hydrochloride, riboflavin, folic acid], yeast, sugar, wheat gluten, contains 2% or less of the following: soybean and/or canola oil, salt, molasses, dough conditioners [ethoxylated mono and diglycerides, mono and diglycerides, monoglycerides, calcium peroxide, ascorbic acid, enzymes], calcium propionate [preservative], malted barley flour, yeast nutrients [monocalcium phosphate, calcium sulfate, ammonium sulfate], soy lecithin)",Deli,Marciano,lunch,66
Sargent Choice Tuscan Tuna Wrap,"Ingredients: Canned Chunk Light Tuna (chunk light tuna, water, vegetable broth [contains soy], salt), Fresh Tomatoes, Low-Sodium Great Northern Bean (great northern beans, water, salt, calcium chloride), Fresh Bell Pepper, Fresh Lettuce, Scallion, Bottled Lemon Juice (filtered water, lemon juice concentrate, sodium bisulfite [preservative], sodium benzoate [preservative], lemon oil), Extra Virgin Olive Oil, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper, Deli Flour Tortilla (whole wheat flour, water, enriched wheat flour [wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], malted barley flour], soy shortening [soybean oil, hydrogenated soybean oil], contains less than 2% of salt, sodium acid pyrophosphate, calcium propionate, mono & diglycerides, rice flour, sugar, sodium bicarbonate, fumaric acid, potassium sorbate, sodium carboxymethylcellulose, enzyme [wheat starch, microcrystalline cellulose], l-cysteine, sodium metabisulfate)",Deli,Marciano,lunch,67
Mediterranean Veggie Ciabatta,"Ingredients: Fresh Tomatoes, Fresh Cucumber, Fresh Lettuce, Crumbled Feta Cheese (feta cheese [cultured pasteurized milk, salt, enzymes], powdered cellulose [to prevent caking], natamycin [a natural mold inhibitor]), Low Sodium Garbanzo Beans (prepared chick peas, water, salt, calcium chloride [firming agent], disodium edta [promotes color retention]), Bottled Lemon Juice (filtered water, lemon juice concentrate, sodium bisulfite [preservative], sodium benzoate [preservative], lemon oil), 100% Pure Tahini (sesame seeds), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Fresh Garlic, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ciabatta Sandwich Roll (unbleached enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], water, sour culture, contains 2% or less of: extra virgin olive oil, salt, semolina, wheat germ, yeast, enzymes [MADE IN A FACILITY THAT ALSO PROCESSES MILK, SESAME, SOY AND TREE NUTS [PECANS AND WALNUTS]])",Deli,Marciano,lunch,68
Create Your Own,none,Deli,Marciano,lunch,69
Create Your Own Sandwich Station,Ingredients: Water,Deli,Marciano,dinner,163
Sargent Choice Roast Beef And Blue Cheese Sandwich,"Ingredients: Deli Roast Beef (beef, water, salt, sugar, potassium phosphate, potassium lactate, dextrose, sodium diacetate, flavoring, caramel coloring, garlic powder, onion powder, spices; after cooking, contains up to 12% of solution: water, salt, sodium phosphates, sugar, flavoring), Fresh Tomatoes, Non-Fat Plain Greek Yogurt (cultured grade a non fat milk), Fresh Lettuce, Blue Cheese Crumbles (blue cheese [cultured pasteurized milk, cheese culture, salt, enzymes, penicillium roqueforti], powdered cellulose [to prevent caking], natamycin [mold inhibitor]), White Vinegar (distilled white vinegar diluted with water to 5% [50 grains] acidity), Wheat Pullman Bread (whole wheat flour, water, unbleached enriched wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin hydrochloride, riboflavin, folic acid], yeast, sugar, wheat gluten, contains 2% or less of the following: soybean and/or canola oil, salt, molasses, dough conditioners [ethoxylated mono and diglycerides, mono and diglycerides, monoglycerides, calcium peroxide, ascorbic acid, enzymes], calcium propionate [preservative], malted barley flour, yeast nutrients [monocalcium phosphate, calcium sulfate, ammonium sulfate], soy lecithin)",Deli,Marciano,dinner,164
Sargent Choice Tuscan Tuna Wrap,"Ingredients: Canned Chunk Light Tuna (chunk light tuna, water, vegetable broth [contains soy], salt), Fresh Tomatoes, Low-Sodium Great Northern Bean (great northern beans, water, salt, calcium chloride), Fresh Bell Pepper, Fresh Lettuce, Scallion, Bottled Lemon Juice (filtered water, lemon juice concentrate, sodium bisulfite [preservative], sodium benzoate [preservative], lemon oil), Extra Virgin Olive Oil, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper, Deli Flour Tortilla (whole wheat flour, water, enriched wheat flour [wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], malted barley flour], soy shortening [soybean oil, hydrogenated soybean oil], contains less than 2% of salt, sodium acid pyrophosphate, calcium propionate, mono & diglycerides, rice flour, sugar, sodium bicarbonate, fumaric acid, potassium sorbate, sodium carboxymethylcellulose, enzyme [wheat starch, microcrystalline cellulose], l-cysteine, sodium metabisulfate)",Deli,Marciano,dinner,165
Mediterranean Veggie Ciabatta,"Ingredients: Fresh Tomatoes, Fresh Cucumber, Fresh Lettuce, Crumbled Feta Cheese (feta cheese [cultured pasteurized milk, salt, enzymes], powdered cellulose [to prevent caking], natamycin [a natural mold inhibitor]), Low Sodium Garbanzo Beans (prepared chick peas, water, salt, calcium chloride [firming agent], disodium edta [promotes color retention]), Bottled Lemon Juice (filtered water, lemon juice concentrate, sodium bisulfite [preservative], sodium benzoate [preservative], lemon oil), 100% Pure Tahini (sesame seeds), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Fresh Garlic, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ciabatta Sandwich Roll (unbleached enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], water, sour culture, contains 2% or less of: extra virgin olive oil, salt, semolina, wheat germ, yeast, enzymes [MADE IN A FACILITY THAT ALSO PROCESSES MILK, SESAME, SOY AND TREE NUTS [PECANS AND WALNUTS]])",Deli,Marciano,dinner,166
Create Your Own,none,Deli,Marciano,lunch,167
Achiote Chicken ,"Ingredients: Halal Chicken Thigh ((boneless skinless thigh meat)), Orange Juice (100% orange juice from concentrate contains pure filtered water, premium concentrated orange juice, ascorbic acid [vitamin c]**. **ingredient not found in regular orange juice from concentrate), Achiote Paste (water, corn flour, annatto seed, salt, garlic, spices, acetic acid and sodium benzoate as preservative [MAY CONTAIN SESAME SEEDS]), Fresh Jalapeno Pepper, Fresh Cilantro, Fresh Garlic, Ground Black Pepper, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps])",Home Zone,Marciano,lunch,103
Carne Asada,"Ingredients: Top Round (beef), Apple Cider Vinegar (apple cider vinegar,  distilled vinegar from grain, natural flavor with caramel color, diluted with water to a uniform pickling and table strength of 5% [50 grains] acidity), Orange Juice (100% orange juice from concentrate contains pure filtered water, premium concentrated orange juice, ascorbic acid [vitamin c]**. **ingredient not found in regular orange juice from concentrate), Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Dried Oregano, Fresh Garlic, Ground Black Pepper, Ground Cumin, Light Soy Sauce (water, soybeans, wheat, salt, lactic acid, sodium benzoate: less than 1/10 of 1% as a preservative)",Home Zone,Marciano,lunch,104
Streets Cumin Roasted Vegetables,"Ingredients: Fresh Broccoli, Fresh Yellow Squash, Fresh Zucchini, Fresh Yellow Onion, Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Fresh Garlic, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Cumin",Home Zone,Marciano,lunch,105
Cilantro-Lime Brown Rice,"Ingredients: Water, Whole Grain Brown Rice ((long grain parboiled brown rice)  ), Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), Low-Sodium Gluten-Free Vegetable Base (sauteed vegetable puree mix [carrots, onions, celery], salt, sugar, maltodextrin, corn oil, 2% or less of yeast extract, water, potato starch, xanthan gum, natural flavors, carrot juice concentrate), Fresh Cilantro, Ground Black Pepper",Home Zone,Marciano,lunch,106
Sauteed Onions,"Ingredients: Fresh Yellow Onion, Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper",Home Zone,Marciano,lunch,107
Black Beans,"Ingredients: Water, Dried Black Beans",Home Zone,Marciano,lunch,108
Pinto Beans,"Ingredients: Water, Dried Pinto Beans",Home Zone,Marciano,lunch,109
Pico De Gallo,"Ingredients: Fresh Tomatoes, Fresh Yellow Onion, Fresh Jalapeno Pepper, Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), Fresh Garlic, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Fresh Cilantro",Home Zone,Marciano,lunch,110
Chili Lime Corn Salad,"Ingredients: Frozen Corn Kernels, Mayonnaise (soybean oil, distilled vinegar, egg yolk, high fructose corn syrup, contains less than 2% of salt, water, mustard seed, calcium sodium edta [to protect flavor]), Scallion, Fresh Cilantro, Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Granulated Sugar, Dark Chili Powder (chili pepper, spices, salt, silicon dioxide [to make free flowing] and garlic), Fresh Lime, Fresh Garlic, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper",Home Zone,Marciano,lunch,111
Streets Crema,"Ingredients: Sour Cream (cultured milk and cream, modified corn starch, guar gum, sodium citrate, carrageenan, locust bean gum, enzymes), Water, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps])",Home Zone,Marciano,lunch,112
Salsa Roja,"Ingredients: Chunky Diced Tomatoes (vine ripened tomatoes, tomato juice, sea salt, calcium chloride, citric acid), Tomato Paste (vine ripened fresh tomatoes, citric acid), Red Wine Vinegar (red wine vinegar, potassium metabisulfite [a preservative], diluted with water to 5% acidity), Fresh Cilantro, Granulated Sugar, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Fresh Yellow Onion, Tabasco Hot Sauce (distilled vinegar, red pepper, salt), Ground Cumin",Home Zone,Marciano,lunch,113
Salsa Guacamole,"Ingredients: Fresh Avocado, Fresh Tomatoes, Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Fresh Yellow Onion, Fresh Jalapeno Pepper, Ancho Chili Concentrate (roasted red bell pepper puree [red peppers, water, salt, citric acid], onion puree, maltodextrin, vegetable oil [corn and/or canola oil], sugar, salt, seasoning [chili, ancho, and chipotle powder], palm oil, olive oil, spices, onion powder, 2% or less of modified cornstarch, garlic, yeast extract, citric acid), Fresh Cilantro, Ground Black Pepper, Fresh Garlic, Fresh Garlic, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Fresh Cilantro",Home Zone,Marciano,lunch,114
Queso Fresco,"Ingredients: Queso Fresco (pasteurized grade a whole cow's milk, salt, enzymes and culture)",Home Zone,Marciano,lunch,115
Shredded Iceberg Lettuce,Ingredients: Fresh Lettuce,Home Zone,Marciano,lunch,116
Tortilla Chip,"Ingredients: Cajun Seasoning (garlic, spices [including paprika, oregano, red pepper], salt, and onion), Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Gluten-Free 6"" Corn Tortilla (whole grain corn, water, contains 2% or less of: cellulose gum, guar gum, enzymes, and propionic acid, benzoic acid and phosphoric acid [to maintain freshness])",Home Zone,Marciano,lunch,117
Dragon Fruit Agua Fresca,"Ingredients: ""Ice Cubes"" (ingredient details unavailable at this time), Water, Frozen Red Dragon Fruit, Agave Nectar (organic agave nectar, water), Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate])",Home Zone,Marciano,lunch,118
